ad_group_id,campaign_id,adgroup_name,max_bid,context_hints
"adgrp_d8df5c76a1408192b80652f74eed7b5d","cmpn_6a7b1758f9508192b009ef9839299108","Dog Bite - Situation Specificity","8.00","[""user or their child was bitten by a dog in California and is looking for legal help"",""user was bitten by a neighbors dog in California and is looking for legal help"",""user was bitten by a dog while lawfully on someone elses property in California and wants to know if they have a claim"",""user is asking how much their dog bite case may be worth in California""]"
"adgrp_17f837cf89548192bb196a2722dae0c3","cmpn_6a7b1758f9508192b009ef9839299108","Dog Bite - Human Not Call Center","8.00","[""user was bitten by a dog in California and wants to speak directly with an attorney, not a call center or intake screener"",""user is looking for a dog bite law firm in California where a real lawyer answers the phone"",""user needs legal help after a dog bite and wants a free consultation with an actual attorney, not a scripted screener""]"
"adgrp_f80ac1245f288192bbf23e1da8735fa5","cmpn_6a7b1758f9508192b009ef9839299108","Dog Bite - Strict Liability","8.00","[""user or their child was bitten by a dog in California and the owner claims the dog never bit anyone before"",""user is asking whether a dog owner is legally responsible in California even if their dog has no history of biting"",""user was bitten by a dog in California and wants to know if they can still recover compensation with no prior incidents on record""]"
"adgrp_fefab9a1eaf08192a735c59af5f45292","cmpn_6a7b1758f9508192b009ef9839299108","Dog Bite - Offer Interception","8.00","[""user or their child was bitten by a dog in California and the owner or their insurance made a settlement offer"",""user was bitten by a dog in California and wants to know if the offer from the owner or insurance is fair before signing anything"",""user is negotiating with a homeowners or renters insurance company about a dog bite claim in California and has not accepted the offer yet""]"
"adgrp_6cbe28274a7481929d369016c3854233","cmpn_6a7b1758f9508192b009ef9839299108","Cell F - Spanish","8.00","[""el usuario tuvo un accidente de auto en California y esta buscando ayuda legal en espanol"",""user was in a car accident in California and is asking in Spanish about hiring a personal injury lawyer"",""el usuario necesita un abogado de accidentes que hable espanol en California""]"
"adgrp_650b768a410081929e5e182137e3b7f7","cmpn_6a7b1758f9508192b009ef9839299108","Cell E - Claim Value","8.00","[""user was injured in a car or other accident in California and wants to know what their injury claim or case may be worth"",""user is asking for a free confidential case evaluation for a personal injury claim in California"",""user wants an estimate of compensation for their accident case in California before deciding on a lawyer""]"
"adgrp_6da2256adef8819296758767bbf33170","cmpn_6a7b1758f9508192b009ef9839299108","Cell A - Offer Interception","8.00","[""user was injured in a car"",""truck"",""motorcycle"",""or other accident in California and the insurance company made a settlement offer"",""user wants to know if the insurance settlement offer for their injury claim is too low before signing anything"",""user is negotiating with an insurance adjuster about compensation for a personal injury (car accident"",""slip and fall"",""pedestrian or bicycle accident) in California and hasn't accepted the offer yet""]"
"adgrp_b53dfe8fcc9481929ffe61e9858e11a2","cmpn_6a7b1758f9508192b009ef9839299108","Cell D - Human Not Call Center","8.00","[""user was injured in an accident in California and wants to speak directly with an attorney"",""not a call center or intake screener"",""user is looking for a personal injury law firm in California where a real lawyer answers the phone"",""user needs legal help after a car or other accident and wants a free consultation with an actual attorney"",""not a scripted screener""]"
"adgrp_d3818e8b31c88192b1c320390ac42e7a","cmpn_6a7b1758f9508192b009ef9839299108","Cell B - Low Commitment","8.00","[""user was injured in a car accident in California and is unsure whether they need to hire a personal injury lawyer"",""user is asking a general question about whether their injury case is worth pursuing legally in California"",""user was in an accident and wants a quick opinion on whether they have a legal claim before deciding to hire an attorney""]"
"adgrp_8ebd4a1bd5a08192a33f5c9fcab5ae80","cmpn_6a7b1758f9508192b009ef9839299108","Cell C - Situation Specificity","8.00","[""user was hit by an uninsured or underinsured driver in a car accident in California and is looking for legal help"",""user needs a lawyer for an uninsured motorist claim in California and is comparing law firms"",""user is asking how much their uninsured driver accident case may be worth in California""]"
"adgrp_6a886a795bf88192a243c0dcf4facf9a","cmpn_6a7b1758f9508192b009ef9839299108","Rideshare Accidents (Uber/Lyft) / landverpersonalinjury.com","8.00","[""user was injured in an Uber or Lyft accident and is looking for legal help in Los Angeles or Southern California"",""user needs a rideshare accident attorney in Los Angeles or Southern California"",""user is researching contingency fee lawyers for a rideshare accident claim in Los Angeles or Southern California""]"
"adgrp_6a886a5397208192948ddb305c92567b","cmpn_6a7b1758f9508192b009ef9839299108","Slip and Fall / landverpersonalinjury.com","8.00","[""user was injured in a slip and fall accident and is looking for legal help in Los Angeles or Southern California"",""user needs a slip and fall attorney in Los Angeles or Southern California"",""user is researching contingency fee lawyers for a slip and fall claim in Los Angeles or Southern California""]"
"adgrp_6a886a25c00881928dd94ee42540b5bb","cmpn_6a7b1758f9508192b009ef9839299108","Pedestrian Accidents / landverpersonalinjury.com","8.00","[""user was hit by a car as a pedestrian and is looking for legal help in Los Angeles or Southern California"",""user needs a pedestrian accident attorney in Los Angeles or Southern California"",""user is researching contingency fee lawyers for a pedestrian accident claim in Los Angeles or Southern California""]"
"adgrp_6a8869feae008192b24aa80d15a8d446","cmpn_6a7b1758f9508192b009ef9839299108","Bicycle Accidents / landverpersonalinjury.com","7.00","[""user was injured in a bicycle accident and is looking for legal help in Los Angeles or Southern California"",""user needs a bicycle accident attorney in Los Angeles or Southern California"",""user is researching contingency fee lawyers for a bicycle accident claim in Los Angeles or Southern California""]"
